year,month,trades,stocks,total_deployed
2010,11,2,"SKMEGGPROD, V2RETAIL",60500
2010,12,1,TAJGVK,5500
2011,1,1,SKMEGGPROD,6050
2011,2,1,HILTON,6050
2011,3,3,"GENUSPOWER, INDIANCARD, SUZLON",6050
2011,4,1,SUZLON,6050
2011,5,1,KARURVYSYA,6050
2011,6,1,SKMEGGPROD,6050
2011,7,1,MOTILALOFS,6050
2011,8,1,RSYSTEMS,6050
2011,9,1,HBLENGINE,6050
2011,10,1,EIMCOELECO,6050
2011,11,2,"DVL, SUNFLAG",6050
2011,12,2,"ACE, OBEROIRLTY",6050
2012,1,2,"ELECON, INDIANCARD",6655
2012,4,12,"ACE, DVL, EIMCOELECO, ELECON, GENUSPOWER, HBLENGINE, KARURVYSYA, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, V2RETAIL",19965
2012,5,1,MUTHOOTFIN,6655
2012,6,1,SKMEGGPROD,6655
2012,7,1,AMJLAND,6655
2012,8,2,"HILTON, JINDRILL",6655
2012,9,1,SUNFLAG,6655
2012,12,1,JINDRILL,19965
2013,1,1,MAHSEAMLES,7320
2013,2,1,RKFORGE,7320
2013,3,1,MAHSEAMLES,7320
2013,4,1,JINDRILL,7320
2013,5,1,JUBLFOOD,7320
2013,6,1,JUBLFOOD,7320
2013,7,2,"OBEROIRLTY, SUZLON",7320
2013,8,2,"AMJLAND, KRBL",7320
2013,9,1,JINDRILL,7320
2013,10,1,RKFORGE,7320
2013,11,1,SUNFLAG,7320
2013,12,1,SUNFLAG,7320
2014,1,1,MAHSEAMLES,8053
2014,2,1,THANGAMAYL,8053
2014,4,1,THANGAMAYL,16105
2014,5,1,THANGAMAYL,8053
2014,8,1,JUBLFOOD,24158
2014,11,2,"DVL, SUZLON",24158
2014,12,1,DVL,8053
2015,1,1,JINDRILL,8858
2015,4,2,"GANESHHOU, TAJGVK",26573
2015,5,1,INDIANCARD,8858
2015,6,1,SHAKTIPUMP,8858
2015,7,1,SHAKTIPUMP,8858
2015,8,1,CGCL,8858
2015,9,1,JSWENERGY,8858
2015,10,2,"ACE, MAHABANK",8858
2015,11,1,MAHSEAMLES,8858
2015,12,1,JUBLFOOD,8858
2016,2,1,MCX,19487
2016,3,1,OBEROIRLTY,9744
2016,6,15,"ACE, AMJLAND, CGCL, DVL, EIMCOELECO, ELECON, HBLENGINE, HILTON, JSWENERGY, JUBLFOOD, MAHABANK, RKFORGE, RSYSTEMS, SUZLON, V2RETAIL",27404
2016,7,1,CGCL,11571
